step,loss,l_attack,l_perc,l_ssim,l_temp,lr,val_mean_jf_clean,val_mean_jf_adv,val_delta_jf,vid_vid_mean_jf_clean,vid_vid_mean_jf_adv,vid_vid_delta_jf
1280,0.11173269897699356,0.11173269897699356,0.0,0.0,0.0,4.3107199380788164e-05,,,,,,
1290,0.12184007465839386,0.12184007465839386,0.0,0.0,0.0,4.30050606887154e-05,,,,,,
1300,0.13887010514736176,0.13887010514736176,0.0,0.0,0.0,4.290230988339556e-05,,,,,,
1310,0.10838895291090012,0.10838895291090012,0.0,0.0,0.0,4.27989510212545e-05,,,,,,
1320,0.11260143667459488,0.11260143667459488,0.0,0.0,0.0,4.269498818272311e-05,,,,,,
1330,0.029872063547372818,0.029872063547372818,0.0,0.0,0.0,4.259042547207626e-05,,,,,,
1340,0.035063911229372025,0.03458566218614578,0.0,0.0009564990177750587,0.0,4.248526701727071e-05,,,,,,
1350,0.01882297173142433,0.01882297173142433,0.0,0.0,0.0,4.2379516969782204e-05,,,,,,
1360,0.0707608237862587,0.0707608237862587,0.0,0.0,0.0,4.227317950444157e-05,,,,,,
1370,0.258823037147522,0.258823037147522,0.0,0.0,0.0,4.2166258819269824e-05,,,,,,
1380,0.12096021324396133,0.12096021324396133,0.0,0.0,0.0,4.205875913531255e-05,,,,,,
1390,0.3716159462928772,0.3716159462928772,0.0,0.0,0.0,4.19506846964732e-05,,,,,,
1400,0.3032347559928894,0.3031160533428192,0.0,0.00023741088807582855,0.0,4.184203976934557e-05,,,,,,
1410,0.03235817700624466,0.03235817700624466,0.0,0.0,0.0,4.173282864304535e-05,,,,,,
1420,0.2455446869134903,0.2455446869134903,0.0,0.0,0.0,4.16230556290408e-05,,,,,,
1430,0.24176299571990967,0.24146538972854614,0.0,0.0005952231585979462,0.0,4.151272506098256e-05,,,,,,
1440,0.04262567311525345,0.02783508598804474,0.0,0.02958117052912712,0.0,4.1401841294532546e-05,,,,,,
1450,0.02174781821668148,0.021179571747779846,0.0,0.0011364929378032684,0.0,4.1290408707192004e-05,,,,,,
1460,0.03444553166627884,0.034320782870054245,0.0,0.000249495729804039,0.0,4.117843169812865e-05,,,,,,
1470,0.10054522752761841,0.10054522752761841,0.0,0.0,0.0,4.106591468800309e-05,,,,,,
